2024-05-02 16:42:56,857 INFO    StreamThr :60901 [internal.py:wandb_internal():86] W&B internal server running at pid: 60901, started at: 2024-05-02 16:42:56.856989
2024-05-02 16:42:56,858 DEBUG   HandlerThread:60901 [handler.py:handle_request():146] handle_request: status
2024-05-02 16:42:56,859 INFO    WriterThread:60901 [datastore.py:open_for_write():87] open: /teamspace/studios/this_studio/ENet-Road-segmentation/wandb/run-20240502_164256-4376kprx/run-4376kprx.wandb
2024-05-02 16:42:56,861 DEBUG   SenderThread:60901 [sender.py:send():379] send: header
2024-05-02 16:42:56,882 DEBUG   SenderThread:60901 [sender.py:send():379] send: run
2024-05-02 16:42:57,033 INFO    SenderThread:60901 [dir_watcher.py:__init__():211] watching files in: /teamspace/studios/this_studio/ENet-Road-segmentation/wandb/run-20240502_164256-4376kprx/files
2024-05-02 16:42:57,033 INFO    SenderThread:60901 [sender.py:_start_run_threads():1124] run started: 4376kprx with start time 1714668176.857049
2024-05-02 16:42:57,041 DEBUG   HandlerThread:60901 [handler.py:handle_request():146] handle_request: check_version
2024-05-02 16:42:57,041 DEBUG   SenderThread:60901 [sender.py:send_request():406] send_request: check_version
2024-05-02 16:42:57,122 DEBUG   HandlerThread:60901 [handler.py:handle_request():146] handle_request: run_start
2024-05-02 16:42:57,123 DEBUG   HandlerThread:60901 [system_info.py:__init__():26] System info init
2024-05-02 16:42:57,123 DEBUG   HandlerThread:60901 [system_info.py:__init__():41] System info init done
2024-05-02 16:42:57,123 INFO    HandlerThread:60901 [system_monitor.py:start():194] Starting system monitor
2024-05-02 16:42:57,123 INFO    SystemMonitor:60901 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-05-02 16:42:57,123 INFO    HandlerThread:60901 [system_monitor.py:probe():214] Collecting system info
2024-05-02 16:42:57,124 INFO    SystemMonitor:60901 [interfaces.py:start():190] Started cpu monitoring
2024-05-02 16:42:57,125 INFO    SystemMonitor:60901 [interfaces.py:start():190] Started disk monitoring
2024-05-02 16:42:57,126 INFO    SystemMonitor:60901 [interfaces.py:start():190] Started memory monitoring
2024-05-02 16:42:57,127 INFO    SystemMonitor:60901 [interfaces.py:start():190] Started network monitoring
2024-05-02 16:42:57,146 DEBUG   HandlerThread:60901 [system_info.py:probe():150] Probing system
2024-05-02 16:42:57,148 DEBUG   HandlerThread:60901 [system_info.py:_probe_git():135] Probing git
2024-05-02 16:42:57,188 DEBUG   HandlerThread:60901 [system_info.py:_probe_git():143] Probing git done
2024-05-02 16:42:57,188 DEBUG   HandlerThread:60901 [system_info.py:probe():198] Probing system done
